dataset,retriever,n_candidates,hop,lambda2,ndcg_at_5,f1_at_5,recall_at_5,param_change_norm,param_disagreement,topk_margin,score_bound,pairwise_gap,rank_gap,empirical_score_delta,empirical_to_bound_ratio,bound_holds_rate,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,topk_changed_rate,ordering_changed_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,10,1,0.47800837686328945,0.6957301990893133,0.43714285714285717,0.765,5.310685522989507,53.08282101262521,0.4803447860479355,31.205438335418663,-53.62338097717588,-55.02692421625163,1.2057405591011048,0.03848881851934638,1.0,0.0,0.0,0.0,0.265,0.615,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,10,2,0.37524982071290597,0.6973721003436109,0.43857142857142856,0.7675,1.6590301425260214,9.445890185129517,0.41221218660473824,8.650945436387007,-13.355849048542757,-13.493667763110766,0.2404628825932741,0.027808727599583784,1.0,0.0,0.0,0.0,0.135,0.345,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,10,3,0.16104867073377246,0.6971469146211413,0.4357142857142857,0.7625,0.7575559840711574,2.9564720972259613,0.4038369530439377,4.071146956855627,-5.648475000547956,-5.768653028508306,0.0930641994997859,0.022799219652828173,1.0,0.0,0.0,0.0,0.02,0.13,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,10,4,0.10249458504329086,0.700674022360331,0.43857142857142856,0.7675,0.3505715279139882,1.440456152088569,0.3998375828564167,2.029637895627281,-2.292380502618679,-2.492276591852506,0.042808999121189115,0.021242951186971712,1.0,0.0,0.0,0.0,0.03,0.09,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,10,5,0.12414007867859916,0.7024739343474874,0.44,0.77,0.20484295976921355,1.0164439934006162,0.3980492204427719,2.019207165393196,-1.387513568911032,-1.4736775849154748,0.03377121523022652,0.016815261657469785,1.0,0.0,0.03,0.0,0.015,0.05,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,20,1,0.39939318660164413,0.696411299572029,0.43285714285714283,0.7575,5.307765334689291,56.035399675524936,0.47733364105224607,34.24651613047749,-56.8406348303028,-55.29457126351694,1.1578506051748991,0.034034158676191736,1.0,0.0,0.0,0.0,0.265,0.585,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,20,2,0.2062773690950846,0.695492355013425,0.4314285714285714,0.755,1.8669231579966095,11.646916937907967,0.414625084400177,9.848442871450462,-14.615710473966253,-14.850940970976803,0.2674684114009142,0.02724632491890551,1.0,0.0,0.0,0.0,0.125,0.315,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,20,3,0.041326702561206206,0.6962769475230124,0.4314285714285714,0.755,0.808944118436799,4.236068173026308,0.4037707543373108,4.67889429192112,-5.903623441285622,-5.9164596828081395,0.10794884912669658,0.02321266090365012,1.0,0.0,0.0,0.0,0.04,0.14,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,20,4,0.0,0.6986489246507054,0.4342857142857142,0.76,0.40720362799353316,2.404275625410676,0.40115742981433866,2.3107192436833617,-2.5724990978845277,-2.7424702022590224,0.05350097481161356,0.023318430839508453,1.0,0.0,0.005,0.0,0.035,0.095,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,20,5,0.0,0.6990503207049644,0.4342857142857142,0.76,0.22080317557042176,1.826058118200973,0.39661217272281646,1.4732300805806944,-1.2449689954644458,-1.4940395549014354,0.03251112977042794,0.022442604517357266,1.0,0.0,0.02,0.0,0.005,0.04,0,0,0
