dataset,retriever,diffusion_alpha,hop,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations,topk_changed_rate,ordering_changed_rate
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.1,1,0.0,0.0,0.0,0,0,0,0.05055611729019211,0.14964610717896865
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.1,2,0.0,0.0,0.0,0,0,0,0.03943377148634985,0.13245702730030334
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.1,3,0.0,0.0,0.0,0,0,0,0.034378159757330634,0.1243680485338726
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.1,4,0.0,0.0,0.0,0,0,0,0.033367037411526794,0.10111223458038422
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.1,5,0.0,0.0,0.0,0,0,0,0.0262891809908999,0.0910010111223458
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.2,1,0.0,0.0,0.0,0,0,0,0.0980788675429727,0.282103134479272
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.2,2,0.0,0.0,0.0,0,0,0,0.06774519716885744,0.21435793731041455
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.2,3,0.0,0.0,0.0,0,0,0,0.056622851365015166,0.1678463094034378
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.2,4,0.0,0.0,0.0,0,0,0,0.03134479271991911,0.12942366026289182
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.2,5,0.0,0.0,0.0,0,0,0,0.023255813953488372,0.11122345803842265
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.4,1,0.0,0.0,0.0,0,0,0,0.1769464105156724,0.47017189079878663
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.4,2,0.0,0.0,0.0,0,0,0,0.09403437815975733,0.2901921132457027
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.4,3,0.0,0.0,0.0,0,0,0,0.05358948432760364,0.17795753286147623
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.4,4,0.0,0.0,0.0,0,0,0,0.03538928210313448,0.13346814964610718
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.4,5,0.0,0.004044489383215369,0.0,0,0,0,0.021233569261880688,0.07583417593528817
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,1,0.0,0.0,0.0,0,0,0,0.2558139534883721,0.6167846309403437
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,2,0.0,0.0,0.0,0,0,0,0.09605662285136501,0.2871587462082912
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,3,0.0,0.0,0.0,0,0,0,0.044489383215369056,0.14964610717896865
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,4,0.0,0.00910010111223458,0.0,0,0,0,0.017189079878665317,0.07583417593528817
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,5,0.0,0.05055611729019211,0.0,0,0,0,0.01314459049544995,0.0455005055611729
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.8,1,0.0,0.0,0.0,0,0,0,0.3316481294236603,0.7229524772497472
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.8,2,0.0,0.0,0.0,0,0,0,0.09706774519716886,0.3276036400404449
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.8,3,0.0,0.0,0.0,0,0,0,0.03538928210313448,0.11526794742163801
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.8,4,0.0010111223458038423,0.08088978766430738,0.0010111223458038423,0,0,0,0.007077856420626896,0.041456016177957536
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.8,5,0.0839231547017189,0.5601617795753286,0.2123356926188069,0,0,0,0.005055611729019211,0.015166835187057633
hotpotqa,intfloat/e5-small-v2,0.1,1,0.0,0.0,0.0,0,0,0,0.11931243680485339,0.3609706774519717
hotpotqa,intfloat/e5-small-v2,0.1,2,0.0,0.0,0.0,0,0,0,0.09201213346814964,0.3134479271991911
hotpotqa,intfloat/e5-small-v2,0.1,3,0.0,0.0,0.0,0,0,0,0.11122345803842265,0.3367037411526795
hotpotqa,intfloat/e5-small-v2,0.1,4,0.0,0.0,0.0,0,0,0,0.08695652173913043,0.2800808897876643
hotpotqa,intfloat/e5-small-v2,0.1,5,0.0,0.0,0.0,0,0,0,0.08088978766430738,0.26188068756319516
