dataset,retriever,diffusion_alpha,hop,lambda2,ndcg_at_5,f1_at_5,recall_at_5,param_change_norm,param_disagreement,topk_margin,score_bound,pairwise_gap,rank_gap,empirical_score_delta,empirical_to_bound_ratio,bound_holds_rate,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,topk_changed_rate,ordering_changed_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.1,1,0.4780083768632894,0.7373625510797771,0.46164957388415423,0.80788675429727,0.8851142538315845,53.08282101262521,0.5181907245736753,4.545737705502333,-6.867317288969942,-7.498849427805612,0.27214343723802403,0.06008802287666776,1.0,0.0,0.0,0.0,0.05055611729019211,0.14964610717896865,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.1,2,0.44546263666894226,0.7388536809524734,0.46309403437815977,0.8104145601617796,0.7714294596840213,42.06466862242185,0.5056317706410637,3.8124775303142706,-5.659341488137599,-6.23060395173186,0.212664583213891,0.05602359942725547,1.0,0.0,0.0,0.0,0.03943377148634985,0.13245702730030334,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.1,3,0.44493544298812554,0.7390612275122707,0.46396071067456296,0.8119312436804853,0.6726572245506683,33.554816521190716,0.4979599414598592,3.2136292948402576,-4.674977162049147,-5.1997894430992915,0.1671597356065219,0.0522705914717354,1.0,0.0,0.0,0.0,0.034378159757330634,0.1243680485338726,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.1,4,0.44457433193656365,0.7388805145128832,0.46367181857576195,0.8114256825075834,0.5882866050309427,26.95619210606636,0.4920468699672948,2.7322931774011003,-3.884625951784872,-4.365883599204344,0.13253506749898528,0.048768967449531346,1.0,0.0,0.0,0.0,0.033367037411526794,0.10111223458038422,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.1,5,0.44433862601592694,0.7407121251492741,0.4645384948721652,0.8129423660262892,0.5160910099263232,21.804346958136772,0.4875490368015243,2.342201230311998,-3.2450391241314405,-3.690155697833807,0.10601525746956392,0.04553350902842585,1.0,0.0,0.0,0.0,0.0262891809908999,0.0910010111223458,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.2,1,0.47800837686328906,0.7388488965876923,0.4630940343781597,0.8104145601617796,1.770228507663169,53.08282101262521,0.5181907245736753,9.341624697390555,-15.019627310894064,-15.928291433832415,0.5108802776606669,0.054913919608974064,1.0,0.0,0.0,0.0,0.0980788675429727,0.282103134479272,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.2,2,0.4454550520540214,0.7404954423976966,0.4648273869709663,0.8134479271991911,1.3192744345041354,32.54464846646679,0.4970159645901411,6.431627329401725,-10.05012575686167,-10.77873853890851,0.30566373864458113,0.04778187216241506,1.0,0.0,0.0,0.0,0.06774519716885744,0.21435793731041455,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.2,3,0.44456264849714805,0.7401108628241813,0.463960710674563,0.8119312436804853,0.9928851598238264,20.63174627892099,0.4867863440688387,4.579961955762588,-6.915507306804272,-7.514815752681433,0.18971471326506656,0.04168844275294429,1.0,0.0,0.0,0.0,0.056622851365015166,0.1678463094034378,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.2,4,0.44421676281908734,0.7402508221251608,0.463960710674563,0.8119312436804853,0.7598042220040806,13.52176010387736,0.48165940911451655,3.392500889730844,-4.916172702678989,-5.418094493594164,0.12326013830210732,0.03659933669075046,1.0,0.0,0.0,0.0,0.03134479271991911,0.12942366026289182,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.2,5,0.4441562879625521,0.7404112775085553,0.4648273869709663,0.8134479271991911,0.5911783364848587,9.123333632235985,0.47820764741623967,2.6014436199169277,-3.5915060139061183,-4.027820571151323,0.08337818789018056,0.032324337453337605,1.0,0.0,0.0,0.0,0.023255813953488372,0.11122345803842265,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.4,1,0.47800837686328973,0.741781249828013,0.4648273869709663,0.8134479271991911,3.5404570153263393,53.08282101262521,0.5181907245736753,19.68385363179213,-33.28182800455588,-34.4281722006001,0.8902565463850062,0.04546226750060768,1.0,0.0,0.0,0.0,0.1769464105156724,0.47017189079878663,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.4,2,0.3758086459164497,0.7413375473461307,0.4645384948721652,0.8129423660262892,1.783431052926963,17.999004857301554,0.48576280482196227,8.54734339829858,-13.599617605182111,-14.240807408790541,0.29799527408229326,0.03511790830998795,1.0,0.0,0.0,0.0,0.09403437815975733,0.2901921132457027,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.4,3,0.37483292371103816,0.7406930849351115,0.4645384948721652,0.8129423660262892,0.9996487842845754,7.582308444213453,0.47692698133305184,4.628499335711924,-6.819694673942186,-7.252315019767489,0.12699641978897389,0.027720619532961288,1.0,0.0,0.0,0.0,0.05358948432760364,0.17795753286147623,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.4,4,0.22599673435432494,0.7398542112382446,0.4633829264769608,0.8109201213346815,0.6401347742263483,3.7124470184066674,0.4721159479600595,3.0800457305197995,-4.177321619959244,-4.510513565539904,0.07244104278039402,0.02373071032400602,1.0,0.0,0.0,0.0,0.03538928210313448,0.13346814964610718,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.4,5,0.1643250424533656,0.7398027848497263,0.46309403437815977,0.8104145601617796,0.3974671830355438,2.0964018552362687,0.46809113062955854,2.0388364909671948,-2.3786297451391603,-2.68578701647666,0.04511756959198941,0.022271518100009303,1.0,0.0,0.004044489383215369,0.0,0.021233569261880688,0.07583417593528817,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,1,0.47800837686329,0.7410518376638037,0.46424960277336413,0.8124368048533872,5.310685522989507,53.08282101262521,0.5181907245736753,31.026692711612707,-53.81025513237605,-54.90605098116186,1.1438684140918711,0.0371022087168393,1.0,0.0,0.0,0.0,0.2558139534883721,0.6167846309403437,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,2,0.3752498207129064,0.7398112330038562,0.46367181857576195,0.8114256825075834,1.6590301425260214,9.445890185129517,0.4792862674720487,8.580418054741484,-13.33478700090674,-13.383649205604952,0.22191915970721307,0.026101023386557298,1.0,0.0,0.0,0.0,0.09605662285136501,0.2871587462082912,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,3,0.1610486707337728,0.7400595336806246,0.4633829264769608,0.8109201213346815,0.7575559840711574,2.9564720972259613,0.4706271538252898,4.063440364235755,-5.604413598233827,-5.734958839143139,0.08812131365069967,0.021806920006848775,1.0,0.0,0.0,0.0,0.044489383215369056,0.14964610717896865,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,4,0.10249458504329045,0.740903527453656,0.46367181857576195,0.8114256825075834,0.3505715279139882,1.440456152088569,0.46666888173582943,2.0279376795414663,-2.2389630979118453,-2.4799436719482966,0.042229320631711864,0.02099147251757274,1.0,0.0,0.00910010111223458,0.0,0.017189079878665317,0.07583417593528817,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,5,0.12414007867859816,0.7409755637844345,0.4633829264769608,0.8109201213346815,0.20484295976921355,1.0164439934006162,0.46593371395274047,2.011041007476506,-1.3372586736828316,-1.501452142132052,0.03422683421654214,0.017056556257881307,1.0,0.0,0.05055611729019211,0.0,0.01314459049544995,0.0455005055611729,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.8,1,0.47800837686328945,0.7382901799592062,0.46193846598295535,0.8083923154701719,7.0809140306526785,53.08282101262521,0.5181907245736753,43.37014917817892,-76.41448470101618,-77.26987329356803,1.281160636636437,0.029770076252803323,1.0,0.0,0.0,0.0,0.3316481294236603,0.7229524772497472,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.8,2,0.3040560210457471,0.7397796154972286,0.4622273580817564,0.8088978766430738,1.815167161118363,6.885304449950674,0.4754602178268293,10.408037449226466,-15.667016009088954,-15.14329341751947,0.222283733822217,0.021490089486068478,1.0,0.0,0.0,0.0,0.09706774519716886,0.3276036400404449,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.8,3,0.05645132476771474,0.7397920959632951,0.4622273580817564,0.8088978766430738,0.5572686011282213,1.6847722791818238,0.4672652844026971,3.0372305802177317,-3.942370106298856,-4.176165638256729,0.06594627968688223,0.021884536657970584,1.0,0.0,0.0,0.0,0.03538928210313448,0.11526794742163801,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.8,4,0.0,0.7397425417844903,0.46251625018055753,0.8094034378159757,0.16993263523712432,1.06956300732668,0.46687703932982966,1.4675312042509034,-1.0457231886578497,-1.2492827214187685,0.02682715079571046,0.018433252153847408,1.0,0.0010111223458038423,0.08088978766430738,0.0010111223458038423,0.007077856420626896,0.041456016177957536,0,0,0
