strategy,hop,ndcg_at_5,mean_margin,mean_hard_margin,margin_violation_rate,mean_margin_standardized,mean_hard_margin_standardized
baseline,1,0.3469599337490688,-0.7300102086351663,-80.06416189658509,0.9797775530839231,-0.026449776578273132,-2.7567963632135197
baseline,2,0.34826682721736235,-0.7076988446820975,-35.35723898553029,0.9797775530839231,-0.0509841699476419,-2.5743625187113826
baseline,3,0.3516408512192554,-0.5721656393836072,-23.863162059031797,0.9817997977755308,-0.058077666258855534,-2.472059208430316
baseline,4,0.35024030091996117,-0.444409652956817,-21.504059998885445,0.9817997977755308,-0.0428848024220155,-2.248263737532199
baseline,5,0.3515840488361409,-0.35594999103141145,-17.614335643509882,0.9828109201213346,-0.0347280970905799,-2.0362361745739346
sir,1,0.3456501691722638,-8.191600907077925,-410.0767107000245,0.9817997977755308,-0.05542213386243891,-2.6260224365351723
sir,2,0.3440244427350742,-9.759704539460046,-370.79167581641155,0.9817997977755308,-0.06469219654206469,-2.392441286690891
sir,3,0.34552136410670137,-9.643194225126138,-363.2186284542566,0.9797775530839231,-0.06392832887907242,-2.327159676129561
sir,4,0.3394816392992051,-8.949261712594028,-350.9929265464883,0.9797775530839231,-0.061764396425734155,-2.3160009293434896
sir,5,0.3403171255824139,-5.803028556285661,-336.8958884780159,0.980788675429727,-0.04391525996410389,-2.3614023900371004
