strategy,hop,lambda2,ndcg_at_5,f1_at_5,cumulative_d_ig,pearson_r_lambda2_ndcg5_pooled,pearson_r_lambda2_ndcg5_baseline,pearson_r_lambda2_ndcg5_sir
baseline,1,0.3305738509917469,0.3469599337490688,0.26924743608262314,67.91581725151644,-0.15964537310406043,-0.8366511862202862,0.6673777966974859
baseline,2,0.21546135925606108,0.34826682721736235,0.2732919254658385,78.60965012927271,-0.15964537310406043,-0.8366511862202862,0.6673777966974859
baseline,3,0.1645283248397018,0.3516408512192554,0.2784919832442583,83.94365600201,-0.15964537310406043,-0.8366511862202862,0.6673777966974859
baseline,4,0.07278988676602105,0.35024030091996117,0.2799364437382638,87.94125400160905,-0.15964537310406043,-0.8366511862202862,0.6673777966974859
baseline,5,0.0,0.3515840488361409,0.2816697963310703,90.95744828153907,-0.15964537310406043,-0.8366511862202862,0.6673777966974859
sir,1,0.5343497035552931,0.3456501691722638,0.2724252491694352,50.50252095847871,-0.15964537310406043,-0.8366511862202862,0.6673777966974859
sir,2,0.37483309269644477,0.3440244427350742,0.2735808175646396,66.74617496048596,-0.15964537310406043,-0.8366511862202862,0.6673777966974859
sir,3,0.14247213634607817,0.34552136410670137,0.2735808175646396,72.1706707766559,-0.15964537310406043,-0.8366511862202862,0.6673777966974859
sir,4,0.10484431243567191,0.3394816392992051,0.268958543983822,77.57516985248034,-0.15964537310406043,-0.8366511862202862,0.6673777966974859
sir,5,0.10701209280579925,0.3403171255824139,0.2666474071934133,84.44983144773563,-0.15964537310406043,-0.8366511862202862,0.6673777966974859
