strategy,hop,lambda2,delta_ig_sq,theorem1_bound_B_h,non_consensus_variance,bound_satisfied,gold_inflow_mass,distractor_inflow_mass,gold_distractor_ratio,mean_transition_entropy
baseline,1,0.3305738509917469,36758.35992740238,36758.35992740238,23.2459168996852,True,0.07901903613477067,0.08003802386904167,0.9872687044731946,0.9737507037711932
baseline,2,0.21546135925606108,1382.3451366755514,24007.147975986354,11.674834176771595,True,0.09981806780547187,0.100045483048632,0.9977268814420405,1.0076383821093988
baseline,3,0.1645283248397018,560.6930083569969,17317.992467831,7.10324569692251,True,0.0989892779761429,0.10025268050596428,0.9873978179492805,1.0355948592202209
baseline,4,0.07278988676602105,213.62609411410207,15102.226230904129,5.257483330400943,True,0.0990707987338182,0.10023230031654545,0.9884119033480474,1.0128694921438164
baseline,5,0.0,88.89963458317666,15191.125865487305,4.768516736306936,True,0.09946243385568873,0.10013439153607784,0.9932894416086775,1.00938609514513
sir,1,0.5343497035552931,36758.35992740238,36758.35992740238,36.9996192423234,True,0.10407010490123536,0.09898247377469115,1.0513993127417034,1.0981439185883397
sir,2,0.37483309269644477,23318.57784990147,37684.98226898243,29.584196530795467,True,0.10429199684806363,0.0989270007879841,1.0542318681077103,1.0877327559928731
sir,3,0.14247213634607817,14528.528590888267,42240.33243450456,27.521391289491945,True,0.10393958900526201,0.09901510274868451,1.0497346982311058,1.0199720177488285
sir,4,0.10484431243567191,12727.030817638151,46574.36569694135,30.343948936132257,True,0.10366533478319284,0.09908366630420182,1.0462404011563153,0.9940121006293212
sir,5,0.10701209280579925,10681.518282882675,47821.19373879306,28.826509794209386,True,0.10365718029525871,0.0990857049261853,1.0461365781414464,0.9845036638729651
