strategy,hop,lambda2,ndcg_at_k,f1_at_k,mean_param_drift
baseline,1,0.1871526243887588,0.3255994241751259,0.27058823529411763,3.4040311385432367
baseline,2,8.415479874774543e-17,0.3007105650596166,0.25882352941176473,4.276125810511243
baseline,3,-5.515770714076622e-17,0.23680261181830115,0.2235294117647059,4.650239678870556
baseline,4,4.4406968274770383e-17,0.24595184939816134,0.2235294117647059,4.826666772771054
baseline,5,8.879613362524314e-17,0.24436116952724438,0.2235294117647059,4.894648856051361
sir,1,0.49243903810003775,0.30846163599260623,0.25882352941176473,3.141307697293379
sir,2,0.30351679020285544,0.2934840770937336,0.25882352941176473,3.859278775496614
sir,3,0.13491189725487565,0.2560463095116268,0.24705882352941178,4.240440299095406
sir,4,0.12959862067933012,0.2512939247995999,0.24705882352941178,4.409141195648218
sir,5,0.07635560455299845,0.2500358010477008,0.24705882352941178,4.492081888238782
