dataset,retriever,diffusion_alpha,hop,ndcg_at_5,f1_at_5,recall_at_5,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.1,5,0.7407121251492741,0.4645384948721652,0.8129423660262892,0.0,0.0,0.0,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.2,5,0.7404112775085553,0.4648273869709663,0.8134479271991911,0.0,0.0,0.0,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.4,5,0.7398027848497263,0.46309403437815977,0.8104145601617796,0.0,0.004044489383215369,0.0,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.6,5,0.7409755637844345,0.4633829264769608,0.8109201213346815,0.0,0.05055611729019211,0.0,0,0,0
hotpotqa,sentence-transformers/all-MiniLM-L6-v2,0.8,5,0.7399012055882491,0.4628051422793586,0.8099089989888777,0.0839231547017189,0.5601617795753286,0.2123356926188069,0,0,0
hotpotqa,intfloat/e5-small-v2,0.1,5,0.7479702940055848,0.478694207713419,0.8377148634984833,0.0,0.0,0.0,0,0,0
hotpotqa,intfloat/e5-small-v2,0.2,5,0.7570802189286867,0.48447204968944096,0.8478260869565217,0.0,0.0,0.0,0,0,0
hotpotqa,intfloat/e5-small-v2,0.4,5,0.7598960049091897,0.48793875487505417,0.8538928210313448,0.0,0.0,0.0,0,0,0
hotpotqa,intfloat/e5-small-v2,0.6,5,0.7620303848221012,0.4896721074678608,0.8569261880687563,0.0,0.0,0.0,0,0,0
hotpotqa,intfloat/e5-small-v2,0.8,5,0.7599801864132147,0.48793875487505417,0.8538928210313448,0.0,0.14256825075834176,0.019211324570273004,0,0,0
hotpotqa,BAAI/bge-small-en-v1.5,0.1,5,0.8451658404826716,0.5165390726563628,0.9039433771486349,0.0,0.0,0.0,0,0,0
hotpotqa,BAAI/bge-small-en-v1.5,0.2,5,0.8498523463079508,0.5182724252491694,0.9069767441860465,0.0,0.0,0.0,0,0,0
hotpotqa,BAAI/bge-small-en-v1.5,0.4,5,0.8541804185010374,0.5185613173479706,0.9074823053589485,0.0,0.0,0.0,0,0,0
hotpotqa,BAAI/bge-small-en-v1.5,0.6,5,0.8565816901522142,0.5194279936443738,0.9089989888776542,0.0,0.008088978766430738,0.0,0,0,0
hotpotqa,BAAI/bge-small-en-v1.5,0.8,5,0.8556903663177953,0.5197168857431749,0.9095045500505561,0.0262891809908999,0.36299292214357937,0.08998988877654196,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,0.1,5,0.725198727480466,0.4526939188213202,0.8073811931243681,0.0,0.003033367037411527,0.0,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,0.2,5,0.7261692443160698,0.4526939188213202,0.8073811931243681,0.0,0.0020222446916076846,0.0,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,0.4,5,0.7265855027847259,0.452116134623718,0.8063700707785642,0.0,0.005055611729019211,0.0,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,0.6,5,0.7255597450767202,0.45124945832731467,0.8048533872598584,0.0020222446916076846,0.05358948432760364,0.0,0,0,0
musique,sentence-transformers/all-MiniLM-L6-v2,0.8,5,0.7259802409589008,0.45182724252491685,0.8058645096056622,0.0788675429726997,0.5581395348837209,0.2032355915065723,0,0,0
musique,intfloat/e5-small-v2,0.1,5,0.6686166052870716,0.4246713852376138,0.7583417593528817,0.0,0.0,0.0,0,0,0
musique,intfloat/e5-small-v2,0.2,5,0.678402112846154,0.4278973470075593,0.7644084934277048,0.0,0.0,0.0,0,0,0
musique,intfloat/e5-small-v2,0.4,5,0.6862066464828488,0.43194183639077466,0.7714863498483316,0.0,0.0,0.0,0,0,0
musique,intfloat/e5-small-v2,0.6,5,0.684631899380376,0.4290529154027637,0.7664307381193124,0.0,0.0,0.0,0,0,0
musique,intfloat/e5-small-v2,0.8,5,0.6842141925698932,0.4302084837979681,0.7684529828109201,0.0,0.14964610717896865,0.01820020222446916,0,0,0
musique,BAAI/bge-small-en-v1.5,0.1,5,0.7670965569825574,0.46217920939862295,0.8235591506572295,0.0,0.0,0.0,0,0,0
musique,BAAI/bge-small-en-v1.5,0.2,5,0.7692604139831984,0.46275699359622513,0.8245702730030333,0.0,0.0,0.0,0,0,0
musique,BAAI/bge-small-en-v1.5,0.4,5,0.7729770903024156,0.46574221195050314,0.8306370070778564,0.0,0.0,0.0,0,0,0
musique,BAAI/bge-small-en-v1.5,0.6,5,0.7731282666409273,0.4666088882469064,0.8321536905965622,0.0,0.007077856420626896,0.0,0,0,0
musique,BAAI/bge-small-en-v1.5,0.8,5,0.7730177011477213,0.465453319851702,0.8301314459049545,0.010111223458038422,0.36299292214357937,0.0859453993933266,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.1,5,0.6069934594270451,0.43404432888760486,0.6827603640040445,0.0,0.0020222446916076846,0.0,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.2,5,0.6082495549296687,0.43571348323623343,0.6855409504550051,0.0,0.0010111223458038423,0.0,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.4,5,0.6086213131613807,0.43619497006756863,0.6868048533872598,0.0020222446916076846,0.00910010111223458,0.0,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.6,5,0.6094414177110467,0.43706164636397193,0.6883215369059656,0.0010111223458038423,0.05358948432760364,0.0,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.8,5,0.6096190420444203,0.43706164636397193,0.6883215369059656,0.09403437815975733,0.6006066734074823,0.1890798786653185,0,0,0
2wikimultihopqa,intfloat/e5-small-v2,0.1,5,0.6607948524085466,0.454876659123373,0.7211830131445905,0.0,0.0,0.0,0,0,0
2wikimultihopqa,intfloat/e5-small-v2,0.2,5,0.668208205610488,0.4552618485884411,0.7214357937310415,0.0,0.0,0.0,0,0,0
2wikimultihopqa,intfloat/e5-small-v2,0.4,5,0.6719769181389529,0.45288651355385434,0.71840242669363,0.0,0.0,0.0,0,0,0
2wikimultihopqa,intfloat/e5-small-v2,0.6,5,0.67566846442648,0.4533038021410114,0.7194135490394338,0.0,0.0,0.0,0,0,0
2wikimultihopqa,intfloat/e5-small-v2,0.8,5,0.6767040316880104,0.4529507117980323,0.7186552072800809,0.0,0.12032355915065723,0.015166835187057633,0,0,0
2wikimultihopqa,BAAI/bge-small-en-v1.5,0.1,5,0.8147697816980372,0.5193637954001958,0.8228008088978767,0.0,0.0,0.0,0,0,0
2wikimultihopqa,BAAI/bge-small-en-v1.5,0.2,5,0.8174373166233391,0.5209687515046463,0.8253286147623863,0.0,0.0,0.0,0,0,0
2wikimultihopqa,BAAI/bge-small-en-v1.5,0.4,5,0.8206502626117187,0.5234082847834112,0.8286147623862488,0.0,0.0020222446916076846,0.0,0,0,0
