slack_bin,n,mean_slack,p_topk_changed
"(-444.251, -83.641]",22253,-218.29734374879948,0.4255605985709792
"(-83.641, -60.29]",22252,-71.22573871469365,0.2080711846126191
"(-60.29, -33.867]",22253,-43.402003068938235,0.14231788972273401
"(-33.867, -26.099]",22252,-29.94739524292537,0.10376595362214633
"(-26.099, -20.759]",22253,-23.22509980078858,0.0833595470273671
"(-20.759, -16.013]",22252,-18.41020242064114,0.07491461441668165
"(-16.013, -10.469]",22252,-13.314237609307867,0.06129786086643897
"(-10.469, -6.086]",22253,-8.02267975296284,0.04080348717026918
"(-6.086, -3.25]",22252,-4.650764111686694,0.03195218407334172
"(-3.25, 15.604]",22253,-1.3407723537734644,0.008403361344537815
